disease_name,introduction,symptoms,causes,diagnosis,management
Bad Breath (Halitosis),Bad breath or Halitosis (oral malodour) is an unpleasant odour of the mouth. It is a common complaint for both genders and for all age groups. Nearly more than 50% of the general population in developed countries have halitosis.,,Halitosis has numerous causes and origins.,"Diagnosis of bad breath or halitosis, and assessment of its severity is very important to find out if it is genuine halitosis or pseudo-halitosis or halitophobia.",
Bleeding Gums,"Bleeding from gums may occur while brushing or sometimes it occurs on its own (spontaneously). If you often see a pink tinge in the sink after brushing teeth, you have bleeding gums. It may be a sign of inflammation of gums. Inflamed gums appear red and swollen while healthy gums are light pink in colour.",,There are many possible causes of bleeding from gums such as:,"If your gums bleed regularly, go for a dental checkup to get examined for oral hygiene status. Examination by dentist should be done to rule out the issues such as malnutrition, puberty and pregnancy.","If you don’t brush and floss properly and regularly, then do so."
Bruxism (Teeth Grinding),"Habitual grinding or clenching of teeth, either during sleep or as an unconscious habit during waking hours, is known as Bruxism and commonly called as “Teeth Grinding”.",,CAUSES:,DIAGNOSIS:,
Cancer,"Cancer is a group of diseases characterized by uncontrolled cell division that leads to abnormal tissue growth. Many a times, people often use the terms cancer and tumor synonymously. But all tumours are not cancerous.","Symptoms of cancer, are usually caused by the effect of cancer on the part of body where it is growing. Although symptoms of cancer may appear in the form of general debility including weight loss or tiredness, yet it is generally advised that if anyone is experiencing unusual symptoms for more than a few weeks than he/she should seek medical attention.",Various causes of cancer are:,Cancers can generally be recognized by appearance of signs and symptoms through screening.,"Remedial treatment: Remedial treatment refers to treatment which seeks to make the patient feel better and may or may not be combined with an attempt to attack the cancer. Treatment includes action to reduce the physical, emotional, spiritual, and psycho-social agony experienced by people with cancer."
Carpal Tunnel Syndrome,"Carpal tunnel syndrome (CTS) is a relatively common condition that causes pain, numbness and a tingling sensation in the hand and fingers. The sensations develop gradually and then worsens during the night. They tend to affect the thumb, index finger, middle finger and half of the ring finger. It is generally caused by pressure on the median nerve in wrist.",The three main symptoms are:,The symptoms of carpal tunnel syndrome (CTS) are caused by compression or pressure of the median nerve at the wrist.,"Physical tests: Flexing the wrist for a minute or holding it elevated above the head for a minute are other commonly performed simple tests for CTS, and should stimulate the same pain, numbness or tingling in hand if you have the condition.","Wrist Splints: A wrist splint is generally worn at night to support the wrist and keep it in the same position. The splint prevents the wrist from bending, which can place pressure on the median nerve and aggravate symptoms."
Chickenpox,"Chickenpox is a viral infection and is highly contagious. It is caused by the varicella-zoster virus (VZV). Chickenpox primarily occurs in children under 10 years of age but can affect the adults as well. The disease can be severe in adults.  It causes different of skin eruption described as ‘pleomorphic rash’, besides itching, tiredness and fever.",It includes:,Chickenpox spreads from infected person to non-infected person (contagious disease). The virus spreads through coughing or sneezing of infected person. It can also be spread by touching the virus particles that come from chickenpox blisters.,"Chickenpox can be diagnosed with classical symptoms. However, Microscopic examination of the skin lesion can be done for laboratory confirmation of the disease.",Calamine lotion is used in in relieving the itching during checkenpox. Fingernails should be trimmed short so as to prevent skin infections caused by scratching blisters.
Chikungunya Fever,"Chikungunya fever is a debilitating, but non-fatal, viral illness. It is spread by the bite of infected female Aedes aegypti mosquito. Aedes mosquito breeds in clean water collections. The water containers, tanks, discarded material such as buckets, utensils, tyres, flower-pots etc. are the breeding sites for these mosquitoes. The peak biting times of the Aedes aegypti mosquito are early morning or late evening. Chikungunya fever is caused by a virus of genus alphavirus in the family of togaviridae.  It is diagnosed based on symptoms, physical findings (e.g. joint swelling), laboratory testing and the possibility of exposure to infected mosquitoes. There is no specific treatment for Chikungunya fever. The treatment is mainly supportive to ease the symptoms.","It is generally characterized by abrupt onset of fever, chills which is accompanied by joint pain. Other symptoms include:","Chikungunya virus is spread by the bite of an infected mosquito. Mosquitoes become infected when they feed on a person infected with Chikungunya virus. The incubation period (time from infection to illness) can be 2-12 days, but is usually 3-7 days. “Silent” Chikungunya virus infections (infections without illness) do occur, though rarely.",The clinical appearance of both chikungunya and dengue are similar. Therefore laboratory confirmation is important especially in areas where dengue is present. Enzyme-Linked Immuno-sorbent Assay (ELISA) may confirm the presence of IgM and IgG anti-Chikungunya antibodies.,There is no specific treatment for chikungunya. Only supportive treatment is given to ease the symptoms
Cholera,"Cholera is an intestinal infection which is caused when a person consumes contaminated food or water. It is generally caused by the bacterium Vibrio cholerae. It has a short incubation period, from one day to five days. After contamination, bacteria produces an enterotoxin that causes a copious, painless, watery diarrhea that can quickly lead to severe dehydration and death if treatment is not promptly given. Vomiting also occurs in most patients.","Cholera infection is often mild or without symptoms, but can sometimes be severe.","Cholera is a diarrheal illness caused by the bacteria Vibrio cholerae. This species is not common to humans, and its presence in the human digestive system is not part of the natural life cycle of the bacteria.","Laboratory tests include stool gram stain (gram negative rods) culture, dark field microscopy or stool PCR. One must begin treatment even before diagnostic work-up.",Have plenty of fluids:
Coronary Heart Disease,"Coronary heart disease (CHD) is the thinning or blockage of the coronary arteries, usually caused by atherosclerosis. Atherosclerosis (sometimes called “hardening” or “clogging” of the arteries) is the buildup of cholesterol and fatty deposits (called plaques) on the inner walls of the arteries. These deposits can restrict blood flow to the heart muscle by clogging the artery. This result in reduced supply of blood to the heart, thus heart becomes starved of oxygen and the vital nutrients it requires to work properly. This can lead to chest pain called angina. If blood supply to a portion of the heart muscle is cut off entirely, or if the energy demands of the heart become much greater than its blood supply, a heart attack (injury to the heart muscle) may occur. Coronary heart disease (CHD) is the leading cause of death for both men and women living in urban areas as compared to rural India.",The most common feature of CHD is chest pain (angina) and heart attack. Generally pain occurs when the heart is not getting enough blood or oxygen. The intensity of pain is varies from person to person.,Risk factors associated with the conditions are:,Tests may include:,"Medications like Aspirin , beta blockers, nitrates, calcium channel blockers, nikoran, trimetazadine, and ranolazine along with statins."
Cough,"The cough is a sudden and often repetitively occurring reflex which helps to clear the large breathing passages from secretions, irritants, foreign particles and microbes. The cough reflex consists of three phases:",,"Acute cough: It is caused due to respiratory tract infection caused by a virus. Conditions like influenza (flu), laryngitis and common cold which mostly occur in upper tract infections. Conditions like bronchitis and pneumonia in case of lower tract infections.",If the cough persists for more than one week. It is advised to visit doctor.,Cough can generally be treated by treating the symptoms associated with it.
Childhood Exotropia,"Childhood exotropia (outward deviation) is a horizontal exodeviation characterised by visual axis forming a divergent angle. It usually begins as exophoria. Exophoria is a condition in which eyes are straight without deviation when both eyes are open. However, eye under cover deviates on cover-uncover test or alternate cover test. It may progress to exotropia which may be latent (exophoria) or manifest (Exotropia). Fluctuation between phoria and tropia is common in exotropia.",Patient with Childhood exotropia may present with:-,Heredity appears to have role in exodeviation.,For diagnosis of childhood exotropia:-,Nonsurgical methods of correction are adopted in children having good control of deviation as well as in those where risks of overcorrection are undesirable.
Chalazion,Chalazion (Meibomian cyst),"Chalazion usually present as small, painless, firm roundish lesion over the tarsal plate area in the lid skin.",Chalazion occurs due to blockage of the orifice of meibomian gland duct. Blockage of ducts may be potentiated due to certain associated conditions such as :-,"A patient may have painless swelling present on the lids for days and weeks and may seek attention for cosmetic reason. There may be single or multiple swellings. Frequently, there is history of previous similar occurrences. A patient may present with diminution of vision especially with large centrally placed chalazion of upper lid pressing onto the cornea. It may lead to acquired with- the- rule astigmatism or acquired hypermetropia.","Small, inconspicuous and nonsymptomatic chalazia may resolve on its own and may not require any treatment. Chalazion may be managed conservatively or by surgical means."
Crimean-Congo Haemorrhagic Fever (Cchf),Crimean-Congo haemorrhagic fever (CCHF),"Onset of symptoms is sudden, with fever, myalgia, (muscle ache), dizziness, neck pain and stiffness, backache, headache, sore eyes and photophobia (sensitivity to light).","CCHF is caused by virus belongs to family Bunyaviridae, genus Nairovirus. Since it is enveloped virus, it can be readily inactivated. CCHF virus is stable for up to 10 days in blood kept at 400 C.",There are no rapid diagnostic tests.,"CCHF is a severe disease in humans, with a high mortality rate. Treatment for CCHF is primarily supportive."
Chronic Obstructive Pulmonary Disease (Copd),"Chronic obstructive pulmonary disease (COPD) is a term used to describe chronic lung diseases that cause limitations in lung airflow. The chronic airflow limitation characteristic of COPD is caused by a mixture of small airway disease (obstructive bronchiolitis) and parenchymal destruction (emphysema), the relative contributions of which vary from person to person.",The most common symptoms of COPD are:,Risk factors for COPD:,"Diagnosis of COPD should be considered in any patient who has symptoms of a chronic cough, sputum production, dyspnoea (difficult or labored breathing) and a history of exposure to risk factors for the disease.",An effective COPD management plan includes four components: (1) assess and monitor disease; (2) reduce risk factors; (3) manage stable COPD; (4) manage exacerbations.
Coronavirus Disease 2019 (Covid-19),"A cluster of pneumonia of unknown etiology was reported in Wuhan City, Hubei Province of China on 31 December 2019.  On 7 January, Chinese authority identified a new type of coronavirus as a cause of pneumonia outbreak, which is different from any other human coronaviruses discovered so far. The new strain is named as 2019-nCoV. Afterwards on 11February 2020, this virus is named as severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) and disease is named as COVID-19 by World Health Organisation (WHO).,To date, other six human coronaviruses (HCoVs) have been identified. Out of these, four are globally circulated in the human population and contribute to approximately one-third of common cold infections in humans. The other two viruses are Severe Acute Respiratory Syndrome Coronavirus (SARS-CoV) and Middle East Respiratory Syndrome Coronavirus (MERS Coronavirus) causing severe respiratory diseases. Coronaviruses such as SARS and MERS, are zoonotic, and can be transmitted from animals (civet cats and dromedary camels, respectively) to humans.,(SARS-CoV was first reported in 2002-2003 in Guangdong, China and MERS coronavirus was first identified in Saudi Arabia in 2012).,The precise zoonotic (animal) origin of the 2019‑nCoV is still uncertain. The virus has been identified in environmental samples from a live animal market in Wuhan, China and some human cases have been epidemiologically linked to this market.,Epidemiological evidence shows that 2019‑nCoV can be transmitted from one individual to another. In the previous outbreaks of other coronaviruses such as MERS-CoV and SARS, human-to-human transmission occurred most commonly through droplets, personal contact, and contaminated objects. The modes of transmission of 2019‑nCoV are similar.,According to WHO, additional investigations are needed to determine how the patients were infected, the extent of human-to-human transmission, the clinical spectrum of disease, and the geographic range of infection.,On 30 January 2020, the Director-General of WHO declared the 2019‑nCoV outbreak a public health emergency of international concern under the International Health Regulations (IHR) (2005).,COVID-19 outbreak was declared as pandemic by WHO on 11 March 2020. According to WHO, it is a controllable pandemic and urged all countries to take a comprehensive approach considering their circumstances and with containment measures as the central pillar.",Common symptoms of infection may be in the form of respiratory symptoms such as-,COVID-19 is caused by the SARS-CoV-2 virus. A novel coronavirus is a new strain of coronavirus that has not been previously identified in humans. Coronaviruses (CoV) are a large family of viruses that can cause mild illness in the form of common cold to severe respiratory diseases such as Middle East Respiratory Syndrome (MERS-CoV) and Severe Acute Respiratory Syndrome (SARS-CoV).,Two kinds of tests are available for COVID-19 diagnosis: tests for current infection (viral tests-molecular assays) and tests for past infection (antibody tests/serology tests).,"People who think they may have been exposed to COVID-19 should take precautionary measures to prevent further transmission of infection and should be quarantined, and if symptoms appear they should contact their healthcare provider immediately."
Conjunctivochalasis,"Conjunctivochalasis (CCh) is defined as the presence of redundant non-oedematous conjunctiva that may be asymptomatic, or it may be symptomatic due to unstable tear film or mechanical disruption of tear flow. Conjunctivochalasis is usually found in older people and is often overlooked, and is classified as a normal variant of eye due to ageing. However, it has been seen in patients as early as first decade of life with an increase in prevalence and severity with age. It is usually bilateral condition and consists of an elevation of the bulbar conjunctiva over the lower lid margin, most commonly in the infero-temporal region. However, in addition to temporal region, it may involve bulbar conjunctiva along nasal, central lid-margin or any combination of these areas. The presence of loose redundant tissue causes disruption of inferior tear meniscus. This conjunctival prolapse may impede tear outflow through the inferior punctum, resulting in epiphora (watering from eyes).  It may also involve upper bulbar area with loose conjunctiva, but it is less common.",Conjunctivochalasis may be asymptomatic.,"No true aetiology is known for conjunctivochalasis. Senile changes involving the subcutaneous, elastic or supporting tissue in the conjunctiva was suggested as the cause. Eye rubbing, mechanical irritation or trauma to conjunctiva, and abnormal eyelid position were all implicated.","CCh is one of the most common under diagnosed and misdiagnosed ocular surface disease. Non-specific symptoms along with intermittent findings of conjunctival oedema often lead to misdiagnosis. Due to fluctuation in findings of disease process, several clinical exams may be required to confirm the diagnosis. Diagnosis of CCh is mainly clinical.",Management should be carried out under medical supervision.
Conjunctival Concretions,"Conjunctival concretions (Conjunctival lithiasis) are small vascular, granular, yellowish-white deposits being produced due to conjunctival degeneration and are found in the sub-epithelium of palpebral conjunctiva and fornix (junction between palpebral and bulbar conjunctiva) in the elderly group or in patients with chronic inflammatory conditions. Deposits were found in patients as young as 20 years old, with the range of occurrence from 30-80 years old. Concretions appear as multiple tiny inclusion cysts containing yellowish-white deposits of inspissated mucous and degenerated epithelial debris including keratin. They are frequently discrete, but confluent concretions are not uncommon. In one study, no significant difference was found between the lacalisation on the upper and lower eyelids, right or left eye, and most of the concretions were superficial and hard, and mainly single. Associated dysfunction of meibomian glands was also noticed in some patients.","Concretions are almost always asymptomatic because they usually remain hidden into the palpebral conjunctiva, not noticed by patients, until they become large and protrude through the palpebral tissues.",Concretions are formed due to the accumulation of epithelial cells and inspissated mucous in depressions called Henle glands.,Diagnosis of conjunctival concretions is often incidental. Patients are usually asymptomatic and conjunctival concretions are noted on ocular examination. Some patients with protruding concretions may complain of irritation and foreign body sensation in eye. Patients may or may not give history of chronic conjunctivitis.,Management of conjunctival concretions:
Congenital Anomalies (Birth Defects),"Congenital anomalies (birth defects) can be defined as structural or functional anomalies (e.g. metabolic disorders) that occur during intrauterine life and can be identified prenatally, at birth or later in life. Congenital anomalies are also known as birth defects, congenital disorders or congenital malformations. Congenital anomalies are the major cause of new born deaths within four weeks of birth and can result in long-term disability with a significant impact on individuals, families, societies and health-care systems.",Some birth defects are clinically apparent at birth; others may only be diagnosed later in life. The structural defect such as spina bifida is obvious at birth whereas haemophilia a functional defect (a bleeding disorder) is not usually obvious until infancy or childhood.,"Approximately in 50 percent of birth defects a specific cause is not known. However, known causes can be divided broadly into two groups:","For the detection of congenital anomalies screening can be done during preconception period, during pregnancy and after child birth.",Management includes:
Cervical Cancer,Cervical cancer,Women with early cervical cancers and pre-cancers usually have no symptom. Symptoms of cervical cancer appear only after the cancer has reached an advanced stage.,There are several risk factors which increase the chances of developing cervical cancer.,Most of the cervical cancer and HPV infections in the early stages show no clinical signs and symptoms; precancerous lesions and early cancers can be detected by screening tests.,"If abnormal cells or lesions detected during screening tests, treatment is needed to excise them. It includes cryotherapy (destroying abnormal tissue on the cervix by freezing it) or Loop electrosurgical excision procedure (LEEP) when the patient is not eligible for cryotherapy."
Colorectal Cancer,Colorectal cancer is the cancer of colon and rectum. Colorectal cancer is related to large intestine. Colon forms the major part of large intestine.   Rectum is lower part of  large intestine which joins colon with anus.   Cancer may begin as small polyp.Colorectal cancer is more common in western countries.,The symptoms of colorectal cancer include,"Though the exact cause of colorectal cancer is unknown, risk factors which may contribute to the disease are:",Colorectal cancer may be diagnosed by:,
Crimean Congo Haemorrhagic Fever (Cchf),Crimean-Congo haemorrhagic fever (CCHF),"Onset of symptoms is sudden, with fever, myalgia, (muscle ache), dizziness, neck pain and stiffness, backache, headache, sore eyes and photophobia (sensitivity to light).","CCHF is caused by virus belongs to family Bunyaviridae, genus Nairovirus. Since it is enveloped virus, it can be readily inactivated. CCHF virus is stable for up to 10 days in blood kept at 400 C.",There are no rapid diagnostic tests.,"CCHF is a severe disease in humans, with a high mortality rate. Treatment for CCHF is primarily supportive."
Chemical Injuries To The Eyes,"Chemical Injuries to the Eye constitutes an ophthalmic emergency, due to the potential for permanent visual impairment and threat to the structural integrity of the eye. Severe injury may result in widespread damage to the ocular surface epithelium.",Most common immediate symptoms are:,"More than 25,000 chemical products with the potential to cause chemical eye injuries have been identified, many of which may be classified as acids or bases, oxidising or reducing agents, or corrosives. Acids and bases are the most frequently implicated chemical agents. The severity of the injury is related to the nature, concentration, quantity and pH of the chemical involved. It also depends upon the duration of contact and surface area of exposure. History of high-velocity (explosive) chemical injury should always raise suspicion of an associated intraocular foreign body.",The severity of eye injury depends upon:,Management should be carried out under medical supervision.
Coronavirus Disease 2019 (Covid-19),"A cluster of pneumonia of unknown etiology was reported in Wuhan City, Hubei Province of China on 31 December 2019.  On 7 January, Chinese authority identified a new type of coronavirus as a cause of pneumonia outbreak, which is different from any other human coronaviruses discovered so far. The new strain is named as 2019-nCoV. Afterwards on 11February 2020, this virus is named as severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) and disease is named as COVID-19 by World Health Organisation (WHO).,To date, other six human coronaviruses (HCoVs) have been identified. Out of these, four are globally circulated in the human population and contribute to approximately one-third of common cold infections in humans. The other two viruses are Severe Acute Respiratory Syndrome Coronavirus (SARS-CoV) and Middle East Respiratory Syndrome Coronavirus (MERS Coronavirus) causing severe respiratory diseases. Coronaviruses such as SARS and MERS, are zoonotic, and can be transmitted from animals (civet cats and dromedary camels, respectively) to humans.,(SARS-CoV was first reported in 2002-2003 in Guangdong, China and MERS coronavirus was first identified in Saudi Arabia in 2012).,The precise zoonotic (animal) origin of the 2019‑nCoV is still uncertain. The virus has been identified in environmental samples from a live animal market in Wuhan, China and some human cases have been epidemiologically linked to this market.,Epidemiological evidence shows that 2019‑nCoV can be transmitted from one individual to another. In the previous outbreaks of other coronaviruses such as MERS-CoV and SARS, human-to-human transmission occurred most commonly through droplets, personal contact, and contaminated objects. The modes of transmission of 2019‑nCoV are similar.,According to WHO, additional investigations are needed to determine how the patients were infected, the extent of human-to-human transmission, the clinical spectrum of disease, and the geographic range of infection.,On 30 January 2020, the Director-General of WHO declared the 2019‑nCoV outbreak a public health emergency of international concern under the International Health Regulations (IHR) (2005).,COVID-19 outbreak was declared as pandemic by WHO on 11 March 2020. According to WHO it is a controllable pandemic and urged all countries to take a comprehensive approach considering their circumstances and with containment measures as the central pillar.",Common symptoms of infection may be in the form of respiratory symptoms such as-,A novel coronavirus is a new strain of coronavirus that has not been previously identified in humans. Coronaviruses (CoV) are a large family of viruses that can cause mild illness in the form of common cold to severe respiratory diseases such as Middle East Respiratory Syndrome (MERS-CoV) and Severe Acute Respiratory Syndrome (SARS-CoV).,Two kinds of tests are available for COVID-19 diagnosis: tests for current infection (viral tests-molecular assays) and tests for past infection (antibody tests/serology tests).,"There is no specific antiviral treatment recommended for 2019-nCoV infection. People infected with 2019-nCoV should receive supportive care to help relieve symptoms. For severe cases, treatment should include care to support vital organ functions."
Computer Vision Syndrome,"Computer vision syndrome (CVS), also referred to as digital eye strain, describes eye and vision-related problems that result from prolonged computer, tablet, e-reader and cell phone use. Many individuals experience eye discomfort and vision problems when viewing digital screens. The level of discomfort appears to increase with the amount of digital screen use.",Symptoms of CVS may include:,Risk factors for CVS include:,Diagnosis depends upon the symptoms being faced by the patients and the clinical features.,Management should be carried out under medical supervision.
Child Maltreatment (Child Abuse),"Child maltreatment is abuse to children under 18 years of age by a parent, caregiver, or another person in a custodial role (e.g., clergy, coach, teacher). World Health Organization (WHO) defines child maltreatment as all types of physical and/or emotional ill-treatment, sexual abuse, neglect, negligence and commercial or other exploitation, which results in actual or potential harm to the child’s health, survival, development or dignity in the context of a relationship of responsibility, trust or power. Child maltreatment can be distinguished in to:","Specific signs and symptoms depend on the type of abuse and can vary. Symptoms can be physical, psychological, or both.",Some factors can increase the risk for abuse or neglect. The presence of these factors does not always mean that maltreatment will occur.,"If there is suspicion of child abuse a detailed account of the events leading to the injury should be obtained and documented. The child should be fully undressed, and the whole body should be examined thoroughly, including the anogenital region. The growth parameters should also be measured. Child abuse may be suspected when-","If child abuse is suspected, report it immediately to concerned person."
Congenital Capillary Haemangioma Of Eyelid,Congenital Capillary haemangioma of eyelid (strawberry naevus) is a common vascular hamartoma in infants/children and is derived from endothelial rests.,Congenital capillary haemangioma may present as,"Congenital capillary haemangioma, one of the common orbital tumour in children, represents a vascular hamartoma derived from endothelial rests.","Clinically, superficial congenital capillary haemangiomas initially present as a red flat lesion with telangiectatic blood vessels. When enlarged, they become elevated, red, dome shaped mass having soft consistency. The masses are compressible and blanch with pressure.",Conservative management
Cavernous Haemangioma Of Eyelid,"Cavernous Haemangioma of Eyelid is a hamartoma, which arises usually after the second decade of life. Eyelid lesion is less common as compared to orbital tumour. It usually accompanies the orbital tumour and the occurrence of isolated eyelid lesion is rare.","Cavernous haemangioma may present with dark blue, compressible, lobulated lesion which increases slowly in size.",Cavernous haemangioma represents hamartoma.,"Clinically, superficial lesions are lobulated, compressible, dark blue coloured, and slowly progressive lesions. These lesions may produce amblyopia due to mass effect of ptosis or from astigmatism produced by ocular compression.","Spontaneous regression of cavernous haemangioma has been reported, but it is more characteristic of capillary haemangioma."
Corneal Abrasion,"Corneal Abrasion is superficial disruption of corneal epithelial surface, usually produced by trauma. Many corneal abrasions, are prevented due to inherent brisk protective reflexes, like closure of eyelids. Corneal abrasion is also prone to infection, like any other soft tissue injury. Corneal abrasions are more common among older children who wear contact lenses for visual improvement.",Symptoms of corneal abrasion include,Causes include,Diagnosis depends upon clinical examination under slit- lamp. Examination may also be conducted using a portable source of ultra-violet light such as Wood’s lamp.,Management includes
Chalcosis,"Chalcosis or chalcosis bulbi refers to mild ocular inflammation due to an intraocular foreign body containing copper between about 70 to 85%. Chalcosis results in deposition of copper on lens capsule (sunflower cataract), Descemet’s membrane (Kayser- Fleischer ring), iris (green discolouration), sluggish pupillary response, vitreous degeneration and liquefaction, yellow retinal plaques and degeneration.","Symptoms vary according to the size, location and content of copper in intraocular foreign body.",Copper containing foreign bodies are the most common non-magnetic foreign bodies.,Diagnosis is based on clinical features such as,Management involves
Commotio Retinae,Commotio Retinae or Berlin’s Oedema is grey-white discolouration of the retina due to disruption of outer segment photoreceptor layer following blunt trauma. This is caused due to contrecoup injury. Shock waves caused due to impact traverses the fluid- filled eye and then strike retina.,Symptoms,"Commotio retinae is caused due to pressure waves emanating from blunt trauma to the eye resulting in retinal injury. There may also be associated choroidal rupture or retinal haemorrhage. Following acute episode of oedema, retina may develop scarring and pigment dispersal. Macular commotio retinae reduces central vision. The vision usually improves on resolution of oedema, unless there is development of macular hole or disruption of retinal pigment epithelium of the fovea.",Diagnosis depends upon the history of injury to the eye and clinical features.,"There is no approved medical therapy for commotio retinae. The patient should be observed closely during first few days to weeks following trauma, to monitor development of any complication and its treatment thereof."
Cavities,Cavities commonly called as “Tooth decay” is damage to the outer protective layer of the tooth i.e. enamel.,"In the beginning, there may not be any symptom at all. As the decay extends, it may cause signs and symptoms:",Main causes and risk factors for tooth decay are:,,
Cleft Lip And Cleft Palate,INTRODUCTION,SYMPTOMS,CAUSES,DIAGNOSIS,
Diarrhea,,Diarrhea is associated with symptoms depending on the cause and who is affected.,Diarrhoea usually occurs when fluid cannot be absorbed from the contents of   bowel or when extra fluid is secreted into   bowel causing watery faeces.,The following diarrhoeal conditions should be further investigated:,Drink fluids : It is important to drink plenty of fluids to avoid dehydration.
Deafness,"As per WHO, ‘A person who is not able to hear as well as someone with normal hearing – hearing thresholds of 25 decibel(a unit to measure intensity of sound) or better in both ears – is said to have hearing loss’.   Hearing impaired people can be hard of hearing (HOH) or deaf. ‘Hard of hearing’ refers to people with hearing loss ranging from mild to severe. They usually communicate through spoken language. If a person cannot hear at all, then they have deafness. They are unable to hear and understand even a shouted voice.",Early signs and symptoms of hearing loss may include:,The causes of hearing loss and deafness can be either  congenital or  acquired,One should visit doctor as soon as they have hearing problem. The doctor may examine your ear with an instrument called auriscope  to look for anything abnormal.,Treatment  depends upon the cause of the condition like:
Dementia,"Dementia is an illness of old age, usually characterized by a progressive decline in cognitive functions from the previous level. Loss of memory for the recent events is a classical feature. A number of cognitive functions including new learning, intelligence, decision making, executive functioning and language are affected, besides the memory.  In the later stages, the patient may not even be able to take care of self, and the illness affects the basic personal and social skills.,Advances in the medical field have been associated with increase in  life expectancy leading to increasing number of   old age population. As per the 2011 census, India is home to about 65 million people of age 65 and   above, constituting 5.5% of the total population. Prevalence of dementia in India is reported to be 2.7%. As the age increase, prevalence of dementia increases. For example, nearly 20% of people above 80 suffer from dementia. Mean age of presentation is relatively younger at 66.3 years  in India, about 10 years lesser than in the developed countries.,Unlike the West, in India most of the elderly people live with their families and most patients with dementia are taken care of by the families. With the increasing elderly population and reducing joint family system in our country, dementia poses a great challenge.","One of the earliest symptoms of dementia is impairment of memory for recent events. Onset is usually slow and gradual, though it is sudden in vascular dementia. There is a progressive deterioration of various intellectual abilities. Often the family members observe that the patient starts forgetting about his daily use belongings, such as purse, pen or shoes and about recent events and whom he met the day before. He forgets about conversations, events of the day, telephone numbers, etc. A distinguishing feature is that the person himself is often not aware of this development.  Interestingly, memory for remote events even going back to his early life is preserved.","Dementia is a result of degenerative changes in the brain. The most common causes of dementia are Alzheimer’s disease, vascular dementia, fronto-temporal dementia, and dementia with Lewy bodies. One study from India analyzing types of dementia found Alzheimer’s disease in 38.3%, vascular dementia in 25.4%, fronto-temporal dementia in 18.7%, diffuse Lewy body disease in 8.9%, and mixed dementia in 8.6% of the patients. In dementia, the brain cells tend to degenerate and die more rapidly than the normal ageing process.,Some of the important characteristics of these different types of dementia are discussed as below:","Any patient developing memory disturbance or personality deterioration in the age group above 50, occurring over a period of few months needs to consult the physician, psychiatrist or neurologist. The person needs to be examined in detail to rule out dementia.  Mini Mental Sate Examination (MMSE) or its Hindi adaptation called Hindi Mental Status Examination (HMSE) are commonly used to screen for dementia. Both can be administered in a clinic setting and take about 10 minutes.,Detailed physical and neurological examination is conducted. The person needs to be investigated  for basic haematology, liver function, kidney function, thyroid, nutritional deficiencies especially vitamin B12 and folate. Sometimes, nutritional deficiencies or hypothyroidism may be responsible for the dementing changes. Once corrected, the memory disturbance improves. Similarly chronic alcohol use can also lead to dementia.,A CT scan or magnetic resonance imaging (MRI scan) are also performed to detect the degenerative changes. Diagnosis of dementia is, however, mainly clinical.","Dementia, being a degenerative illness, is mostly untreatable. Investigations are generally performed to find out a treatable cause, which if identified (e.g., hypothyroidism, vitamin deficiency ), can be corrected. Certain measures like good nutrition, regular exercise and adequate sleep can improve the quality of life of the patient, and also help in slowing the progression of disease. Simplifying activities or modifying expectations to the cognitive and skill level of the patient can eliminate frustration. The home environment may need to be modified (lighting, positioning of bed, toilets, etc) to compensate for the patient's deficits.,The family members caring for the patient with dementia also face tremendous stress and burden in the care giving role and also need psychological support, guidance and help. They need to be educated about the problem and guided how to deal with it. Family therapy, group therapy and counselling are used to help them. Some of the NGOs like HelpAge India also run self  help groups.,Certain medications like donepezil, rivastigmine and galantamine (also called cholinesterase inhibitors) are useful in early stages of the Alzheimer’s disease, and slow down the progress of dementia. These increase the acetylcholine levels in the brain. Memantine is another drug which improves symptoms."
Dengue Fever,,,"Dengue virus is an RNA virus. Transmission of this virus occurs in a cycle. An infected human is bitten by a female mosquito. The infected mosquito then bites another human, and the cycle continues.",A probable diagnosis is based on occurrence of fever along with some of the following symptoms.,"There is no specific medication for treatment of a dengue infection. Persons suspected of dengue can use analgesics (pain relievers) and avoid those containing aspirin. They should take plenty of fluids, rest and consult a physician at the earliest possible. If condition does not improve after 3-5 days, then one should seek further medical advice."
